,Datetime,Tweet Id,url,replyCount,renderedContent,source,text,retweetCount,language,likes
212,2022-12-23 09:17:06+00:00,1606217322359705600,https://twitter.com/IPL/status/1606217322359705600,13,"Sunrisers Hyderabad have joined the bidding war with Rajasthan Royals for England's Harry Brook 

Current bid at a whopping INR 8 Crore 😱

#IPLAuction | @TataCompanies","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sunrisers Hyderabad have joined the bidding war with Rajasthan Royals for England's Harry Brook 

Current bid at a whopping INR 8 Crore 😱

#IPLAuction | @TataCompanies",31,en,677
213,2022-12-23 09:15:04+00:00,1606216811644686344,https://twitter.com/IPL/status/1606216811644686344,6,"The BIDDING WAR IS ON 🔥🔥

Where is Brook heading this season folks? The bid is up to INR 5 Crore at the moment 

#IPLAuction | @TataCompanies","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The BIDDING WAR IS ON 🔥🔥

Where is Brook heading this season folks? The bid is up to INR 5 Crore at the moment 

#IPLAuction | @TataCompanies",19,en,348
214,2022-12-23 09:14:04+00:00,1606216558522540033,https://twitter.com/IPL/status/1606216558522540033,20,"Harry Brook is next under the hammer with a base price of INR 1.5 Crore 

Rajasthan Royals &amp; Royal Challengers Bangalore in a fierce bidding war at the moment 

#IPLAuction | @TataCompanies","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Harry Brook is next under the hammer with a base price of INR 1.5 Crore 

Rajasthan Royals &amp; Royal Challengers Bangalore in a fierce bidding war at the moment 

#IPLAuction | @TataCompanies",80,en,1599
215,2022-12-23 09:12:11+00:00,1606216085736329216,https://twitter.com/IPL/status/1606216085736329216,26,"Opening bid with the Gujarat Titans for Kane Williamson and he is SOLD for INR 2 Crore to Gujarat Titans 

#IPLAuction @TataCompanies","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Opening bid with the Gujarat Titans for Kane Williamson and he is SOLD for INR 2 Crore to Gujarat Titans 

#IPLAuction @TataCompanies",141,en,1291
216,2022-12-23 09:11:00+00:00,1606215789714997248,https://twitter.com/IPL/status/1606215789714997248,34,"IT IS TIME for the #TATAIPLAuction @TataCompanies  

First player to go under the hammer with a base price of INR 2 Crore is Kane Williamson

Where is Kane Williamson heading this season folks? Any guesses? 🤔","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IT IS TIME for the #TATAIPLAuction @TataCompanies  

First player to go under the hammer with a base price of INR 2 Crore is Kane Williamson

Where is Kane Williamson heading this season folks? Any guesses? 🤔",106,en,1898
217,2022-12-23 08:49:33+00:00,1606210390366441472,https://twitter.com/IPL/status/1606210390366441472,33,"The #TATAIPLAuction arena all in readiness 😎

We cannot wait for the Auction to get underway 😃 https://t.co/5fNjUtsHm4","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The #TATAIPLAuction arena all in readiness 😎

We cannot wait for the Auction to get underway 😃 https://t.co/5fNjUtsHm4",371,en,9022
218,2022-12-23 07:07:41+00:00,1606184755111686144,https://twitter.com/IPL/status/1606184755111686144,22,"You've witnessed the action unfold on your TV sets  📺

Now watch what goes behind the scenes in an exclusive tour to deliver the #TATAIPLAuction broadcast 📽️🎬 https://t.co/zQcrVocvw6","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","You've witnessed the action unfold on your TV sets  📺

Now watch what goes behind the scenes in an exclusive tour to deliver the #TATAIPLAuction broadcast 📽️🎬 https://t.co/zQcrVocvw6",136,en,1820
219,2022-12-23 04:13:36+00:00,1606140944931135488,https://twitter.com/IPL/status/1606140944931135488,26,"Of a scenic Auction venue, team strategies, preps and more.. 👌👌

How have the franchises geared up for the #TATAIPLAuction 2023 🤔 https://t.co/azQRQu4Bht","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Of a scenic Auction venue, team strategies, preps and more.. 👌👌

How have the franchises geared up for the #TATAIPLAuction 2023 🤔 https://t.co/azQRQu4Bht",245,en,3577
220,2022-12-22 16:33:22+00:00,1605964725883645952,https://twitter.com/IPL/status/1605964725883645952,29,"Pre-auction Team Briefings 📄✅ 

Countdown for the #TATAIPLAuction 2023 begins 😎 https://t.co/xCOSKBLCnZ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pre-auction Team Briefings 📄✅ 

Countdown for the #TATAIPLAuction 2023 begins 😎 https://t.co/xCOSKBLCnZ",364,en,6793
221,2022-12-22 14:49:16+00:00,1605938526352072704,https://twitter.com/IPL/status/1605938526352072704,30,"""It's always a pleasure coming back to the #TATAIPLAuction"" 

Hugh Edmeades is READY - ARE YOU? 😎 https://t.co/HdJN0mt0t9","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","""It's always a pleasure coming back to the #TATAIPLAuction"" 

Hugh Edmeades is READY - ARE YOU? 😎 https://t.co/HdJN0mt0t9",264,en,3965
222,2022-12-22 11:10:50+00:00,1605883557091708931,https://twitter.com/IPL/status/1605883557091708931,46,"𝐆𝐞𝐭𝐭𝐢𝐧𝐠 𝐀𝐮𝐜𝐭𝐢𝐨𝐧 𝐑𝐞𝐚𝐝𝐲 👌💰

Less than 24 hours to go for #TATAIPLAuction 2023 ⏳ https://t.co/LHFPaUbxoR","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","𝐆𝐞𝐭𝐭𝐢𝐧𝐠 𝐀𝐮𝐜𝐭𝐢𝐨𝐧 𝐑𝐞𝐚𝐝𝐲 👌💰

Less than 24 hours to go for #TATAIPLAuction 2023 ⏳ https://t.co/LHFPaUbxoR",618,en,10410
223,2022-12-22 07:58:34+00:00,1605835171340640256,https://twitter.com/IPL/status/1605835171340640256,11,https://t.co/Rbd8JN8JlG,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://t.co/Rbd8JN8JlG,261,zxx,2383
224,2022-12-22 07:57:50+00:00,1605834987516805120,https://twitter.com/IPL/status/1605834987516805120,13,https://t.co/y8t0qgXRIq,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://t.co/y8t0qgXRIq,255,zxx,2183
225,2022-12-22 07:56:48+00:00,1605834728057323522,https://twitter.com/IPL/status/1605834728057323522,64,"Squads 👥
Purse remaining 💰

Here’s how the 1️⃣0️⃣ teams stack up ahead of the #TATAIPLAuction 2023 ✅👌🏻 https://t.co/LSDwyBsQJI","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Squads 👥
Purse remaining 💰

Here’s how the 1️⃣0️⃣ teams stack up ahead of the #TATAIPLAuction 2023 ✅👌🏻 https://t.co/LSDwyBsQJI",753,en,8945
